Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
19-060382,2019-12,01/01/1975 00:01,Y, , ,1, , 21000,3,RAPE -- FORCIBLE,3700,S BROADWAY,18, , ,1900,OLIVE,0,0
19-058336,2019-12,01/01/2016 12:00,Y, , ,1, ,179210,1,SEX OFFNS-CHILD MOLESTATION-FIRST DEGREE,4500,S SPRING AVE,16, , ,4500,SPRING,0,0
19-062890,2019-12,01/01/2019 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,4410,RICHARD PL,69, , ,4410,RICHARD,895320.7,1036686
19-062880,2019-12,01/01/2019 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,5762,ASTRA AVE,73, , ,5762,ASTRA,891591.8,1047167
19-043701,2019-12,01/15/2019 06:00,Y, , ,1, ,115100,2,FRAUD-STEALING BY DECEIT/OVER $150,4552,GIBSON AVE,39, , ,4552,GIBSON,887921.6,1018234
19-003946,2019-12,01/26/2019 22:00, , , ,-1, , 71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,1808,18TH,60, , ,1808,18TH,0,0
19-061610,2019-12,02/01/2019 07:00,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,330,N 4TH ST,35, ,NUISANCE ABATEMENT PROPERTY,330,4TH,909633.8,1017651
19-060522,2019-12,02/01/2019 12:01,Y, , ,1, ,179210,6,SEX OFFNS-CHILD MOLESTATION-FIRST DEGREE,5500,BEACON AVE,72, ,@ 5823 ETZEL,5500,BEACON,0,0
19-064683,2019-12,02/01/2019 12:19,Y, , ,1, ,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,5625,S KINGSHIGHWAY BLVD,6, , ,5625,KINGSHIGHWAY,882517.8,999767.4
19-008160,2019-12,02/06/2019 10:35,Y, , ,1, ,263899,4,OBSTRUCT GOVRN OP-OTHR UNSPC GOV REG VIOL,1915,OLIVE ST,36, ,@HEADQUARTERS,1915,OLIVE,903703.7,1019090
19-061068,2019-12,02/22/2019 14:55,Y, , ,1, ,264100,6,HEALTH-SANITATION VIOL,8309,CHURCH RD,74, , ,8309,CHURCH,896371.1,1048493
19-061783,2019-12,03/01/2018 09:21,Y, , ,1, ,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,5018,S GRAND BLVD,16, , ,5018,GRAND,891467.8,997328.6
19-011818,2019-12,03/17/2019 13:03, , , ,1, , 10000,5,HOMICIDE,5322, ,50, , ,5322,MAFFITT,0,0
19-011818,2019-12,03/17/2019 13:03, , , ,-1, , 41014,5,ASSLT-AGGRAV-FIREARM-1ST-ADULT-DOMESTIC,5322, ,50, , ,5322,MAFFITT,0,0
19-028061,2019-12,03/19/2018 00:01,Y, , ,1, ,263220,4,OBSTRUCT GOVRN OP-JUDIC/TMPR WTH EVDNCE,1114,MARKET ST,35, ,@DISTRICT COURT,1114,MARKET,906569.1,1017219
19-012488,2019-12,03/21/2019 15:03,Y, , ,1, ,263299,0,OBSTRUCT GOVRN OP-JUDIC/OTHR UNSPC JUDIC VIOL,9229,ASTORIA DR,0, , ,9229,ESTRADA,895922.1,1054543
19-064699,2019-12,03/23/2018 00:01,Y, , ,1, , 44024,3,ASLT-AGGRV-HND/FST/FT-1ST-CHILD-DOMESTIC,1113,S 14TH ST,33, , ,1113,14TH,904509.8,1013818
19-062256,2019-12,03/24/2014 13:00,Y, , ,1, , 69702,1,LARCENY-ALL OTHER UNDER $500,3958,KINGSLAND CT,16, , ,3958,KINGSLAND,890559.4,1001676
19-019589,2019-12,05/01/2019 07:45,Y, , ,1, , 41016,1,ASSLT-AGGRAV-FIREARM-3RD-ADULT-DOMESTIC,3858,EICHELBERGER ST,5, , ,3858,EICHELBERGER,889115.8,997761.9
19-019589,2019-12,05/01/2019 07:45,Y, , ,1, , 41026,1,ASSLT-AGGRAV-FIREARM-3RD-CHILD-DOMESTIC,3858,EICHELBERGER ST,5, , ,3858,EICHELBERGER,889115.8,997761.9
19-019589,2019-12,05/01/2019 07:45,Y, , ,1, , 41026,1,ASSLT-AGGRAV-FIREARM-3RD-CHILD-DOMESTIC,3858,EICHELBERGER ST,5, , ,3858,EICHELBERGER,889115.8,997761.9
19-019589,2019-12,05/01/2019 07:45,Y, , ,1, , 41026,1,ASSLT-AGGRAV-FIREARM-3RD-CHILD-DOMESTIC,3858,EICHELBERGER ST,5, , ,3858,EICHELBERGER,889115.8,997761.9
19-061802,2019-12,05/01/2019 11:08,Y, , ,1, ,112010,3,FRAUD-CREDIT DEVICE/OVER $150,3025,OSAGE ST,16, , ,919,JEFFERSON,895506.6,1001532
19-064435,2019-12,05/01/2019 16:32,Y, , ,1, , 51322,2,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,7009,WEIL AVE,9, , ,7009,WEIL,872496.1,1002994
19-022012,2019-12,05/14/2019 12:00,Y, , ,1, ,151110,6,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION,8315,N BROADWAY,74, , ,8315,BROADWAY,897128.3,1048565
19-022638,2019-12,05/16/2019 14:00,Y, , ,1, ,204100,1,FAMILY & CHILD CRIME-ENDANGR WELF CHILD,5105,MINNESOTA AVE,17, , ,1465,GRAND,894120.1,995442.1
19-023327,2019-12,05/19/2019 13:13,Y, , ,1, ,115100,5,FRAUD-STEALING BY DECEIT/OVER $150,4548,WESTMINSTER PL,38, , ,4548,WESTMINSTER,889503,1024777
