Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
19-056796,2019-11,01/01/1987 00:01,Y, , ,1, , 21000,4,RAPE -- FORCIBLE,900,N JEFFERSON AVE,59, ,@CENTRAL PATROL DIVISION,900,JEFFERSON,0,0
19-056649,2019-11,01/01/1990 00:01,Y, , ,1, , 21000,1,RAPE -- FORCIBLE,4700,S BROADWAY,17, , ,1900,OLIVE,0,0
19-059156,2019-11,01/01/2017 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,4441,ELMBANK AVE,56, , ,4441,ELMBANK,894487.9,1032053
19-057856,2019-11,01/01/2018 12:00,Y, , ,1, ,121000,6,EMBEZZLEMENT-VALUE OVER $150,4101,GERALDINE AVE,70, , ,4101,GERALDINE,890309.1,1037199
19-057961,2019-11,01/20/2019 08:30,Y, , ,1, , 65701,1,LARCENY-MTR VEH PARTS UNDER $500,7807,S BROADWAY,2, , ,7807,BROADWAY,888858.2,987721.4
19-053415,2019-11,02/01/2019 07:00,Y, , ,1, ,121000,4,EMBEZZLEMENT-VALUE OVER $150,330,N 4TH ST,35, , ,330,4TH,909633.8,1017651
19-055851,2019-11,02/11/2019 12:00,Y, , ,1, , 51312,6,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,4548,NATURAL BRIDGE AVE,56, , ,4548,NATURAL BRIDGE,894091.7,1033416
19-056797,2019-11,02/21/2019 10:00,Y, , ,1, ,185000,5,DRUGS-OBTAIN BY FRAUD/FORGERY,4473,FOREST PARK AVE,38, , ,4473,FOREST PARK,889254.2,1021376
19-056730,2019-11,03/15/2019 00:01,Y, , ,1, , 21000,5,RAPE -- FORCIBLE,1300,ACADEMY AVE,51, , ,1300,ACADEMY,0,0
19-055768,2019-11,03/15/2019 09:07,Y, , ,1, ,101000,3,FORGERY,3147,KEOKUK ST,16, , ,3147,KEOKUK,895016.7,1002307
19-058063,2019-11,03/17/2019 08:45,Y, , ,1, ,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,4120,WALSH ST,5, , ,4120,WALSH,887659.3,999197.5
18-012433,2019-11,03/20/2018 13:50, , , ,1, ,183130,6,DRUGS-SALE/HEROIN,4100,FARLIN,83, ,PRESSURE GANG DRUG HOUSE,4142,FARLIN,0,0
19-056994,2019-11,03/21/2019 08:17,Y, , ,1, ,117000,4,FAILURE TO RETURN BORROWED/RENTED VEHICL,3534,GRATIOT ST,37, , ,3534,GRATIOT,895678.3,1017375
19-049011,2019-11,03/22/2016 00:01,Y, , ,1, , 21000,6,RAPE -- FORCIBLE,5000,ROSALIE ST,71, , ,2300,TEXAS,0,0
19-014828,2019-11,04/05/2019 08:50, , , ,-1, , 83000,2,ARSON-KNOWINGLY BURNING/SUCCESS,3631,GRAVOIS,15, ,: @WALGREENS - GRAVOIS AND GRAND,3631,GRAVOIS,0,0
19-055488,2019-11,04/10/2018 00:01,Y, , ,1, , 21000,5,RAPE -- FORCIBLE,5100,VERNON AVE,51, , ,5100,VERNON,0,0
19-015902,2019-11,04/10/2019 21:06, , , ,-1, ,241100,3,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,1113,13TH,33, , ,1113,13TH,0,0
18-017208,2019-11,04/18/2018 15:50,Y, , ,1, ,130000,3,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",2841,MERAMEC ST,16, , , , ,896083.3,1000137
19-056992,2019-11,04/23/2019 07:44,Y, , ,1, ,117000,4,FAILURE TO RETURN BORROWED/RENTED VEHICL,3534,GRATIOT ST,37, , ,3534,GRATIOT,895678.3,1017375
19-059502,2019-11,04/23/2019 11:15,Y, , ,1, , 65701,2,LARCENY-MTR VEH PARTS UNDER $500,6374,DEVONSHIRE AVE,8, , ,6374,DEVONSHIRE,877346.6,1003431
19-018563,2019-11,04/24/2019 16:00,Y, , ,1, , 91123,4,SIMPLE ASSAULT-CHILD/NO INJURY,1200,N JEFFERSON AVE,61,GATEWAY SCHOOL ELEMENTARY & MIDDLE,@GATEWAY SCHOOL MIDDLE,1200,JEFFERSON,902233.3,1022362
19-018563,2019-11,04/24/2019 16:00,Y, , ,1, , 91123,4,SIMPLE ASSAULT-CHILD/NO INJURY,1200,N JEFFERSON AVE,61,GATEWAY SCHOOL ELEMENTARY & MIDDLE,@GATEWAY SCHOOL MIDDLE,1200,JEFFERSON,902233.3,1022362
19-018563,2019-11,04/24/2019 16:00,Y, , ,1, , 91123,4,SIMPLE ASSAULT-CHILD/NO INJURY,1200,N JEFFERSON AVE,61,GATEWAY SCHOOL ELEMENTARY & MIDDLE,@GATEWAY SCHOOL MIDDLE,1200,JEFFERSON,902233.3,1022362
19-018496,2019-11,04/25/2019 07:53,Y, , ,1, ,182400,2,DRUGS-POSSESSION/MARIJUANA,5101,MCREE AVE,12,GATEWAY HIGH SCHOOL,@SCHOOL - GATEWAY STEM ACADEMY,5101,MCREE,886056.6,1015300
